disease_id,name,alias
D004678,Encephalomalacia,"Cerebromalacia#Cerebromalacias#Encephalomalacia, Multicystic#Encephalomalacias#Encephalomalacias, Multicystic#Multicystic Encephalomalacia#Multicystic Encephalomalacias"
D004679,Encephalomyelitis,"Encephalomyelitis, Inflammatory#Inflammatory Encephalomyelitis#Myeloencephalitides#Myeloencephalitis"
D004681,"Encephalomyelitis, Autoimmune, Experimental","Allergic Encephalomyelitis#Allergic Encephalomyelitis, Experimental#Autoimmune Encephalomyelitis, Experimental#Autoimmune Experimental Encephalomyelitis#Encephalomyelitis, Allergic#Encephalomyelitis, Autoimmune Experimental#Encephalomyelitis, Experimental Allergic#Encephalomyelitis, Experimental Autoimmune#Experimental Allergic Encephalomyelitides#Experimental Allergic Encephalomyelitis#Experimental Autoimmune Encephalomyelitis#Experimental Encephalomyelitis, Autoimmune"
D004684,"Leukoencephalitis, Acute Hemorrhagic","Acute Hemorrhagic Encephalomyelitides#Acute Hemorrhagic Encephalomyelitis#Acute Hemorrhagic Leukoencephalitides#Acute Hemorrhagic Leukoencephalitis#Acute Necrotizing Encephalitides#Acute Necrotizing Encephalitis#Disease, Hurst#Disease, Hurst's#Encephalitides, Acute Necrotizing#Encephalitis, Acute Necrotizing#Encephalomyelitides, Acute Hemorrhagic#Encephalomyelitides, Hemorrhagic Necrotizing#Encephalomyelitis, Acute Hemorrhagic#Encephalomyelitis, Acute Necrotizing Hemorrhagic#Encephalomyelitis, Hemorrhagic Necrotizing#Encephalomyelitis, Necrotizing Hemorrhagic#Hemorrhagic Encephalomyelitides, Acute#Hemorrhagic Encephalomyelitides, Necrotizing#Hemorrhagic Encephalomyelitis, Acute#Hemorrhagic Encephalomyelitis, Necrotizing#Hemorrhagic Leukoencephalitides, Acute#Hemorrhagic Leukoencephalitides, Subacute#Hemorrhagic Leukoencephalitis, Acute#Hemorrhagic Leukoencephalitis, Subacute#Hemorrhagic Necrotizing Encephalomyelitis#Hurst Disease#Hurst's Disease#Hursts Disease#Hurst Syndrome#Leukoencephalitides, Acute Hemorrhagic#Leukoencephalitides, Subacute Hemorrhagic#Leukoencephalitis Acuta Hemorrhagica#Leukoencephalitis, Subacute Hemorrhagic#Necrotizing Encephalitides, Acute#Necrotizing Encephalitis, Acute#Necrotizing Encephalomyelitides, Hemorrhagic#Necrotizing Encephalomyelitis, Hemorrhagic#Necrotizing Hemorrhagic Encephalomyelitides#Necrotizing Hemorrhagic Encephalomyelitis#Subacute Hemorrhagic Leukoencephalitides#Subacute Hemorrhagic Leukoencephalitis#Syndrome, Hurst"
D004692,Endarteritis,
D004694,Endocardial Cushion Defects,"Cushion Defect, Endocardial#Cushion Defects, Endocardial#Defect, Endocardial Cushion#Defects, Endocardial Cushion#Endocardial Cushion Defect#Persistent Common Atrioventricular Canal"
D004695,Endocardial Fibroelastosis,"Endocardial Fibroelastoses#Endomyocardial Fibroelastosis#Fibroelastoses, Endocardial#Fibroelastosis, Endocardial"
D004696,Endocarditis,"Endocarditides#Endocarditides, Infective#Endocarditis, Infective#Infective Endocarditides#Infective Endocarditis"
D004697,"Endocarditis, Bacterial","Bacterial Endocarditides#Bacterial Endocarditis#Endocarditides, Bacterial"
D004698,"Endocarditis, Subacute Bacterial","Bacterial Endocarditides, Subacute#Bacterial Endocarditis, Subacute#Endocarditides, Subacute Bacterial#Endocarditis Lenta#Subacute Bacterial Endocarditides#Subacute Bacterial Endocarditis"
D004700,Endocrine System Diseases,"Disease, Endocrine#Disease, Endocrine System#Diseases, Endocrine#Diseases, Endocrine System#Diseases of Endocrine System#Endocrine Disease#Endocrine Diseases#Endocrine System Disease#System Disease, Endocrine#System Diseases, Endocrine"
D004701,Endocrine Gland Neoplasms,"Cancer, Endocrine#Cancer, Endocrine Gland#Cancer of Endocrine Gland#Cancer of the Endocrine Gland#Cancers, Endocrine#Carcinoma, Endocrine Gland#Carcinoma of Endocrine Gland#Endocrine Cancer#Endocrine Cancers#Endocrine Gland Cancer#Endocrine Gland Carcinoma#Endocrine Gland Neoplasm#Neoplasm, Endocrine Gland#Neoplasms, Endocrine Gland"
D004714,Endometrial Hyperplasia,"Atypical Endometrial Hyperplasia#Atypical Endometrial Hyperplasias#Complex Endometrial Hyperplasia#Complex Endometrial Hyperplasias#Endometrial Hyperplasia, Atypical#Endometrial Hyperplasia, Complex#Endometrial Hyperplasias#Endometrial Hyperplasias, Atypical#Endometrial Hyperplasias, Complex#Endometrial Hyperplasia, Simple#Endometrial Hyperplasias, Simple#Hyperplasia, Atypical Endometrial#Hyperplasia, Complex Endometrial#Hyperplasia, Endometrial#Hyperplasias, Atypical Endometrial#Hyperplasias, Complex Endometrial#Hyperplasias, Endometrial#Hyperplasia, Simple Endometrial#Hyperplasias, Simple Endometrial#Simple Endometrial Hyperplasia#Simple Endometrial Hyperplasias"
D004715,Endometriosis,"ENDO1#Endometrioma#Endometriomas#Endometrioses#ENDOMETRIOSIS, SUSCEPTIBILITY TO, 1"
D004716,Endometritis,
D004719,Endomyocardial Fibrosis,"Endomyocardial Fibroses#Fibroses, Endomyocardial#Fibrosis, Endomyocardial"
D004749,Entamoebiasis,"Entamoeba histolytica Infection#Entamoeba histolytica Infections#Entamoeba Infection#Entamoeba Infections#Entamoebiases#Infection, Entamoeba#Infection, Entamoeba histolytica#Infections, Entamoeba#Infections, Entamoeba histolytica"
D004751,Enteritis,
D004756,Enterobacteriaceae Infections,"Cronobacter Infection#Cronobacter Infections#Enterobacteriaceae Infection#Enterobacterial Infection#Enterobacterial Infections#Infection, Cronobacter#Infection, Enterobacteriaceae#Infection, Enterobacterial#Infections, Cronobacter#Infections, Enterobacteriaceae#Infections, Enterobacterial"
D004760,Enterocolitis,
D004761,"Enterocolitis, Pseudomembranous","Antibiotic Associated Colitis#Antibiotic-Associated Colitis#Clostridium Enterocolitis#Colitis, Antibiotic-Associated#Colitis, Pseudomembranous#Enteritis, Pseudomembranous#Pseudomembranous Colitis#Pseudomembranous Enteritis#Pseudomembranous Enterocolitis"
D004769,Enterovirus Infections,"Enterovirus Infection#Infection, Enterovirus#Infections, Enterovirus"
D004774,Entropion,
D004775,Enuresis,
D004802,Eosinophilia,"Eosinophilias#Eosinophilias, Tropical#Eosinophilia, Tropical#Tropical Eosinophilia#Tropical Eosinophilias"
D004803,Eosinophilic Granuloma,"Eosinophilic Granulomas#Granuloma, Eosinophilic#Granulomas, Eosinophilic"
D004806,Ependymoma,"Anaplastic Ependymoma#Anaplastic Ependymomas#Cellular Ependymoma#Clear Cell Ependymoma#Ependymoma, Anaplastic#Ependymoma, Myxopapillary#Ependymoma, Papillary#Ependymomas#Ependymomas, Anaplastic#Ependymomas, Myxopapillary#Ependymomas, Papillary#Myxopapillary Ependymoma#Myxopapillary Ependymomas#Papillary Ependymoma#Papillary Ependymomas"
D004820,Epidermolysis Bullosa,"Acantholysis Bullosa#EBNS#EPIDERMOLYSIS BULLOSA, NONSPECIFIC, AUTOSOMAL RECESSIVE"
D004823,Epididymitis,
D004827,Epilepsy,"Aura#Auras#Awakening Epilepsy#Cryptogenic Epilepsies#Cryptogenic Epilepsy#Epilepsies#Epilepsies, Cryptogenic#Epilepsy, Awakening#Epilepsy, Cryptogenic#Seizure Disorder#Seizure Disorders"
D004828,"Epilepsies, Partial","Abdominal Epilepsies#Abdominal Epilepsy#Amygdalo-Hippocampal Epilepsies#Amygdalo-Hippocampal Epilepsy#Benign Focal Epilepsy, Childhood#Benign Occipital Epilepsies#Benign Occipital Epilepsy#Benign Occipital Epilepsy, Childhood#Childhood Benign Focal Epilepsy#Childhood Benign Occipital Epilepsy#Digestive Epilepsies#Digestive Epilepsy#Disorders, Focal Seizure#Disorders, Partial Seizure#Epilepsies, Abdominal#Epilepsies, Amygdalo-Hippocampal#Epilepsies, Benign Occipital#Epilepsies, Digestive#Epilepsies, Focal#Epilepsies, Gelastic#Epilepsies, Localization-Related#Epilepsies, Occipital Lobe#Epilepsies, Rhinencephalic#Epilepsies, Simple Partial#Epilepsy, Abdominal#Epilepsy, Benign Occipital#Epilepsy, Focal#Epilepsy, Localization-Related#Epilepsy, Partial#Epilepsy, Simple Partial#Focal Epilepsies#Focal Epilepsy#Focal Seizure Disorder#Focal Seizure Disorders#Gelastic Epilepsies#Gelastic Epilepsy#Lobe Epilepsy, Occipital#Localization-Related Epilepsies#Localization-Related Epilepsy#Occipital Epilepsies, Benign#Occipital Epilepsy, Benign#Occipital Lobe Epilepsies#Occipital Lobe Epilepsy#Partial Epilepsies#Partial Epilepsies, Simple#Partial Epilepsy#Partial Seizure Disorder#Partial Seizure Disorders#Partial Seizures, Simple#Partial Seizures, Simple, Consciousness Preserved#Rhinencephalic Epilepsies#Rhinencephalic Epilepsy#Seizure Disorder, Focal#Seizure Disorder, Partial#Seizure Disorders, Focal#Seizure Disorders, Partial#Seizures, Simple Partial#Seizures, Subclinical#Seizure, Subclinical#Seizures, Uncinate#Seizure, Uncinate#Simple Partial Epilepsies#Simple Partial Seizures#Subclinical Seizure#Subclinical Seizures#Uncinate Seizures"
D004829,"Epilepsy, Generalized","Akinetic Epilepsies#Akinetic Epilepsy#Atonic Epilepsies#Atonic Epilepsy#Convulsive Epilepsies, Generalized#Convulsive Epilepsy, Generalized#Convulsive Generalized Seizure Disorder#Convulsive Seizure Disorder, Generalized#Epilepsies, Akinetic#Epilepsies, Atonic#Epilepsies, Generalized#Epilepsies, Generalized Convulsive#Epilepsies, Tonic#Epilepsy, Akinetic#Epilepsy, Atonic#Epilepsy, Generalized Convulsive#Epilepsy, Generalized Nonconvulsive#Epilepsy, Symptomatic Generalized#Epilepsy, Tonic#Generalized Convulsive Epilepsies#Generalized Convulsive Epilepsy#Generalized Epilepsies#Generalized Epilepsy#Generalized Epilepsy, Symptomatic#Generalized Nonconvulsive Epilepsy#Generalized Nonconvulsive Seizure Disorder#Generalized Onset Seizure Disorder#Generalized Seizure Disorder#Generalized Seizure Disorder, Convulsive#Generalized Seizure Disorder, Nonconvulsive#Generalized Seizure Disorders#Nonconvulsive Epilepsy, Generalized#Nonconvulsive Generalized Seizure Disorder#Nonconvulsive Seizure Disorder, Generalized#Seizure Disorder, Convulsive, Generalized#Seizure Disorder, Generalized#Seizure Disorder, Generalized, Convulsive#Seizure Disorder, Generalized Nonconvulsive#Seizure Disorder, Generalized Onset#Seizure Disorder, Nonconvulsive Generalized#Seizure Disorders, Generalized#Symptomatic Generalized Epilepsy#Tonic Epilepsies#Tonic Epilepsy"
D004830,"Epilepsy, Tonic-Clonic","Convulsion Disorders, Tonic-Clonic#Convulsion Disorder, Tonic-Clonic#Convulsion, Grand Mal#Convulsions, Grand Mal#Convulsions, Tonic Clonic#Convulsion Syndromes, Tonic-Clonic#Convulsion Syndrome, Tonic-Clonic#Convulsion, Tonic Clonic#Cryptogenic Tonic-Clonic Epilepsies#Cryptogenic Tonic Clonic Epilepsy#Cryptogenic Tonic-Clonic Epilepsy#Disorders, Tonic-Clonic Convulsion#Disorders, Tonic-Clonic Seizure#Disorder, Tonic-Clonic Convulsion#Disorder, Tonic-Clonic Seizure#Epilepsies, Cryptogenic Tonic-Clonic#Epilepsies, Familial Tonic-Clonic#Epilepsies, Symptomatic Tonic-Clonic#Epilepsies, Tonic-Clonic#Epilepsy, Cryptogenic Tonic-Clonic#Epilepsy, Familial Tonic-Clonic#Epilepsy, Grand Mal#Epilepsy, Major#Epilepsy, Symptomatic Tonic-Clonic#Epilepsy, Tonic Clonic#Epilepsy, Tonic-Clonic, Cryptogenic#Epilepsy, Tonic-Clonic, Familial#Epilepsy, Tonic-Clonic, Symptomatic#Familial Tonic-Clonic Epilepsies#Familial Tonic Clonic Epilepsy#Familial Tonic-Clonic Epilepsy#Grand Mal Convulsion#Grand Mal Convulsions#Grand Mal Epilepsy#Grand Mal Seizure Disorder#Major Epilepsies#Major Epilepsy#Major Motor Seizure Disorder#Seizure Disorder, Grand Mal#Seizure Disorder, Major Motor#Seizure Disorders, Tonic-Clonic#Seizure Disorder, Tonic Clonic#Seizure Disorder, Tonic-Clonic#Seizure Syndromes, Tonic-Clonic#Seizure Syndrome, Tonic-Clonic#Symptomatic Tonic-Clonic Epilepsies#Symptomatic Tonic Clonic Epilepsy#Symptomatic Tonic-Clonic Epilepsy#Syndromes, Tonic-Clonic Convulsion#Syndromes, Tonic-Clonic Seizure#Syndrome, Tonic-Clonic Convulsion#Syndrome, Tonic-Clonic Seizure#Tonic Clonic Convulsion#Tonic Clonic Convulsion Disorder#Tonic-Clonic Convulsion Disorder#Tonic-Clonic Convulsion Disorders#Tonic Clonic Convulsions#Tonic Clonic Convulsion Syndrome#Tonic-Clonic Convulsion Syndrome#Tonic-Clonic Convulsion Syndromes#Tonic-Clonic Epilepsies#Tonic-Clonic Epilepsies, Cryptogenic#Tonic-Clonic Epilepsies, Familial#Tonic-Clonic Epilepsies, Symptomatic#Tonic-Clonic Epilepsy#Tonic-Clonic Epilepsy, Cryptogenic#Tonic-Clonic Epilepsy, Familial#Tonic-Clonic Epilepsy, Symptomatic#Tonic Clonic Seizure Disorder#Tonic-Clonic Seizure Disorder#Tonic-Clonic Seizure Disorders#Tonic Clonic Seizure Syndrome#Tonic-Clonic Seizure Syndrome#Tonic-Clonic Seizure Syndromes"
D004831,"Epilepsies, Myoclonic","Absence Epilepsies, Myoclonic#Absence Epilepsy, Myoclonic#Astatic Epilepsies, Myoclonic#Astatic Epilepsy, Myoclonic#Benign Infantile Myoclonic Epilepsy#Cryptogenic Myoclonic Epilepsies#Cryptogenic Myoclonic Epilepsy#Doose Syndrome#Dravet Syndrome#Dravet Syndromes#Early Childhood Epilepsy, Myoclonic#Early Childhood, Myoclonic Epilepsy#EIEE6#Encephalopathies, Myoclonic#Encephalopathy, Myoclonic#Epilepsies, Cryptogenic Myoclonic#Epilepsies, Idiopathic Myoclonic#Epilepsies, Infantile Myoclonic#Epilepsies, Myoclonic Absence#Epilepsies, Myoclonic Astatic#Epilepsies, Symptomatic Myoclonic#Epilepsy, Cryptogenic Myoclonic#Epilepsy, Early Childhood, Myoclonic#Epilepsy, Idiopathic Myoclonic#Epilepsy, Infantile Myoclonic#Epilepsy, Myoclonic#Epilepsy, Myoclonic Absence#Epilepsy, Myoclonic Astatic#Epilepsy, Myoclonic, Early Childhood#Epilepsy, Myoclonic, Infantile#Epilepsy, Myoclonic, Infantile, Benign#Epilepsy, Myoclonic, Infantile, Severe#Epilepsy, Myoclonus#Epilepsy, Symptomatic Myoclonic#EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 6#Idiopathic Myoclonic Epilepsies#Idiopathic Myoclonic Epilepsy#Infantile Myoclonic Epilepsies#Infantile Myoclonic Epilepsy#Infantile Severe Myoclonic Epilepsy#Myoclonic Absence Epilepsies#Myoclonic Absence Epilepsy#Myoclonic Astatic Epilepsies#Myoclonic Astatic Epilepsy#Myoclonic Encephalopathies#Myoclonic Encephalopathy#Myoclonic Epilepsies#Myoclonic Epilepsies, Cryptogenic#Myoclonic Epilepsies, Idiopathic#Myoclonic Epilepsies, Infantile#Myoclonic Epilepsies, Symptomatic#Myoclonic Epilepsy#Myoclonic Epilepsy, Benign Infantile#Myoclonic Epilepsy, Cryptogenic#Myoclonic Epilepsy, Early Childhood#Myoclonic Epilepsy, Idiopathic#Myoclonic Epilepsy, Infantile#Myoclonic Epilepsy, Infantile, Benign#Myoclonic Epilepsy, Infantile, Severe#Myoclonic Epilepsy, Severe Infantile#Myoclonic Epilepsy, Severe, Of Infancy#Myoclonic Epilepsy, Symptomatic#Myoclonic Seizure Disorder#Myoclonic Seizure Disorders#Myoclonus Epilepsies#Myoclonus Epilepsy#Seizure Disorder, Myoclonic#Seizure Disorders, Myoclonic#Severe Infantile Myoclonic Epilepsy#Severe Myoclonic Epilepsy, Infantile#Severe Myoclonic Epilepsy Of Infancy#SMEI#Symptomatic Myoclonic Epilepsies#Symptomatic Myoclonic Epilepsy"
D004832,"Epilepsy, Absence","Absence Epilepsies, Childhood#Absence Epilepsies, Juvenile#Absence Epilepsy#Absence Epilepsy, Childhood#Absence Epilepsy, Juvenile#Absence Seizure Disorder#Absence Seizure Disorders#Akinetic Petit Mal#Childhood Absence Epilepsies#Childhood Absence Epilepsy#ECA1#ECA2#ECA5#ECA6#EIG6, INCLUDED#EJA1#Epilepsies, Childhood Absence#Epilepsies, Juvenile Absence#Epilepsy, Absence, Atypical#Epilepsy, Childhood Absence#EPILEPSY, CHILDHOOD ABSENCE, SUSCEPTIBILITY TO, 1#EPILEPSY, CHILDHOOD ABSENCE, SUSCEPTIBILITY TO, 2#EPILEPSY, CHILDHOOD ABSENCE, SUSCEPTIBILITY TO, 5#EPILEPSY, CHILDHOOD ABSENCE, SUSCEPTIBILITY TO, 6#EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 6, INCLUDED#Epilepsy Juvenile Absence#Epilepsy, Juvenile Absence#Epilepsy Juvenile Absences#EPILEPSY, JUVENILE ABSENCE, SUSCEPTIBILITY TO, 1#Epilepsy, Minor#Epilepsy, Petit Mal#JAE1#Juvenile Absence Epilepsies#Juvenile Absence Epilepsy#Juvenile Absence, Epilepsy#Juvenile Absences, Epilepsy#Minor Epilepsies#Minor Epilepsy#Petit Mal, Akinetic#Petit Mal Epilepsies#Petit Mal Epilepsy#Pykno-Epilepsies#Pykno Epilepsy#Pykno-Epilepsy#Pyknolepsies#Pyknolepsy#Seizure Disorder, Absence#Seizure Disorders, Absence"
D004833,"Epilepsy, Temporal Lobe","Benign Psychomotor Epilepsy, Childhood#Childhood Benign Psychomotor Epilepsy#Epilepsies, Lateral Temporal#Epilepsies, Temporal Lobe#Epilepsies, Uncinate#Epilepsy, Benign Psychomotor, Childhood#Epilepsy, Lateral Temporal#Epilepsy, Uncinate#Lateral Temporal Epilepsies#Lateral Temporal Epilepsy#Temporal Lobe Epilepsies#Temporal Lobe Epilepsy#Uncinate Epilepsies#Uncinate Epilepsy"
D004842,Epispadias,
D004844,Epistaxis,"Bleeding, Nasal#Bleedings, Nasal#Nasal Bleeding#Nasal Bleedings#Nosebleed#Nose Bleed#Nosebleeds#Nose Bleeds"
D004881,Ergotism,"Ergotisms#Ergot Poisoning#Ergot Poisonings#Fire, St. Anthonys#Poisoning, Ergot#Poisonings, Ergot#Saint Anthony Fire#Saint Anthony's Fire#Saint Anthonys Fire#St. Anthony Fire#St. Anthony's Fire#St. Anthonys Fire"
D004890,Erythema,
D004892,Erythema Multiforme,
D004893,Erythema Nodosum,
D004915,"Leukemia, Erythroblastic, Acute","Acute Erythroblastic Leukemia#Acute Erythroblastic Leukemias#Di Guglielmo Disease#Di Guglielmo's Disease#Di Guglielmos Disease#Disease, Di Guglielmo#Disease, Di Guglielmo's#Erythremic Myeloses#Erythremic Myelosis#Erythroblastic Leukemia, Acute#Erythroblastic Leukemias, Acute#Erythroleukemia#Erythroleukemias#Leukemia, Acute Erythroblastic#Leukemia, Myeloid, Acute, M6#Leukemias, Acute Erythroblastic#Myeloid Leukemia, Acute, M6#Myeloses, Erythremic#Myelosis, Erythremic"
D004916,Erythromelalgia,"Erythermalgia#Erythermalgia, Primary#Erythermalgias#Erythermalgias, Primary#Erythromelalgia, Familial#ERYTHROMELALGIA, FAMILIAL NEUROPATHY, SMALL FIBER, INCLUDED#Erythromelalgia, Primary#Erythromelalgias#Familial Erythromelalgia#Primary Erythermalgia#Primary Erythermalgias#Primary Erythromelalgia#SFNP, INCLUDED"
D004927,Escherichia coli Infections,"E coli Infection#E. coli Infection#E coli Infections#E. coli Infections#Escherichia coli Infection#Infection, E coli#Infection, E. coli#Infection, Escherichia coli#Infections, E coli#Infections, Escherichia coli"
D004932,Esophageal and Gastric Varices,"Esophageal Varices#Esophageal Varix#Gastric Varices#Gastric Varix#Varices, Esophageal#Varices, Gastric#Varix, Esophageal#Varix, Gastric"
D004933,Esophageal Atresia,"Atresia, Esophageal#Atresias, Esophageal#Esophageal Atresias"
D004935,Esophageal Diseases,"Disease, Esophageal#Diseases, Esophageal#Esophageal Disease"
D004938,Esophageal Neoplasms,"AERODIGESTIVE TRACT CANCER, SUSCEPTIBILITY TO, INCLUDED#Cancer, Esophageal#Cancer, Esophagus#Cancer of Esophagus#Cancer of the Esophagus#Cancers, Esophageal#Cancers, Esophagus#ESCC, SUSCEPTIBILITY TO, INCLUDED#Esophageal Cancer#Esophageal Cancers#Esophageal Neoplasm#ESOPHAGEAL SQUAMOUS CELL CARCINOMA, SUSCEPTIBILITY TO, INCLUDED#Esophagus Cancer#Esophagus Cancers#Esophagus Neoplasm#Esophagus Neoplasms#GASTRIC CARDIA ADENOCARCINOMA, SUSCEPTIBILITY TO, INCLUDED#Neoplasm, Esophageal#Neoplasm, Esophagus#Neoplasms, Esophageal#Neoplasms, Esophagus"
D004940,Esophageal Stenosis,"Esophageal Stenoses#Esophageal Stricture#Stenoses, Esophageal#Stenosis, Esophageal#Stricture, Esophageal"
D004941,Esophagitis,
D004942,"Esophagitis, Peptic","Esophagitides, Peptic#Esophagitides, Reflux#Esophagitis, Reflux#Peptic Esophagitides#Peptic Esophagitis#Reflux Esophagitides#Reflux Esophagitis"
D004948,Esotropia,"Convergent Strabismus#Cross Eye#Cross-Eye#Cross-Eyes#Esodeviation#Esodeviations#Esophoria#Esophorias#Esotropia, Intermittent#Esotropia, Monocular#Esotropia, Primary#Esotropias#Esotropia, Secondary#Esotropias, Intermittent#Esotropias, Monocular#Esotropias, Primary#Esotropias, Secondary#Intermittent Esotropia#Intermittent Esotropias#Internal Strabismus#Monocular Esotropia#Monocular Esotropias#Primary Esotropia#Primary Esotropias#Secondary Esotropia#Secondary Esotropias#Strabismus, Convergent#Strabismus, Internal"
D005067,Euthyroid Sick Syndromes,"Euthyroid Sick Syndrome#High T4 Syndrome#High T4 Syndromes#Low T3 and Low T4 Syndrome#Low T3 High T4 Syndrome#Low T3-High T4 Syndrome#Low T3 Low T4 Syndrome#Low T3-Low T4 Syndrome#Low T3 Syndrome#Non Thyroidal Illness Syndrome#Non-Thyroidal Illness Syndrome#Sick Euthyroid Syndrome#Syndrome, Non-Thyroidal Illness#Syndrome, Sick Euthyroid#Syndromes, Non-Thyroidal Illness"
D005076,Exanthema,"Exanthem#Rash#Rash, Skin#Skin Rash"
D005094,Exophthalmos,Proptoses#Proptosis
D005099,Exotropia,"Alternating Exotropia#Divergent Strabismus#Exodeviation#Exodeviations#Exophoria#Exotropia, Alternating#Exotropia, Monocular#Exotropia, Primary#Exotropia, Secondary#Monocular Exotropia#Primary Exotropia#Secondary Exotropia#Strabismus, Divergent"
D005117,"Cardiac Complexes, Premature","Beat, Premature#Beats, Premature#Cardiac Complex, Premature#Complexes, Premature Cardiac#Ectopic Heartbeat#Ectopic Heartbeats#Extrasystole#Extrasystoles#Heartbeat, Ectopic#Heartbeats, Ectopic#Premature Beat#Premature Beats#Premature Cardiac Complex#Premature Cardiac Complexes#Premature Cardiac Complices"
D005119,Extravasation of Diagnostic and Therapeutic Materials,"Contrast Media Extravasation#Extravasation of Contrast Media#Extravasation of Diagnostic, Therapeutic Materials"
D005124,Eye Abnormalities,"Abnormalities, Eye#Abnormality, Eye#Eye Abnormality"
D005128,Eye Diseases,"Disease, Eye#Diseases, Eye#Eye Disease"
D005130,Eye Hemorrhage,"Eye Hemorrhages#Hemophthalmos#Hemorrhage, Eye"
D005131,Eye Injuries,"Eye Injury#Injuries, Eye#Injury, Eye"
D005134,Eye Neoplasms,"Cancer, Eye#Cancer of Eye#Cancer of the Eye#Cancers, Eye#Eye Cancer#Eye Cancers#Eye Neoplasm#Neoplasm, Eye#Neoplasms, Eye"
D005141,Eyelid Diseases,"Disease, Eyelid#Diseases, Eyelid#Eyelid Disease"
D005142,Eyelid Neoplasms,"Eyelid Neoplasm#Neoplasm, Eyelid#Neoplasms, Eyelid"
D005146,Facial Asymmetry,"Asymmetries, Facial#Asymmetry, Facial#Facial Asymmetries"
D005148,Facial Dermatoses,"Dermatoses, Facial#Dermatosis, Facial#Elastoidoses, Nodular#Elastoidosis, Nodular#Elastoses, Nodular#Elastosis, Nodular#Facial Dermatosis#Favre Racouchot Syndrome#Favre-Racouchot Syndrome#Nodular Elastoidoses#Nodular Elastoidosis#Nodular Elastoses#Nodular Elastosis#Syndrome, Favre-Racouchot"
D005151,Facial Injuries,"Facial Injury#Injuries, Facial#Injury, Facial"
D005155,Facial Nerve Diseases,"Acquired Facial Neuropathies#Acquired Facial Neuropathy#Cranial Nerve VII Diseases#Cranial Nerve VII Disorders#Disease, Facial Nerve#Diseases, Facial Nerve#Disorder, Facial Nerve#Disorders, Facial Nerve#Facial Myokymia#Facial Myokymias#Facial Nerve Disease#Facial Nerve Disorder#Facial Nerve Disorders#Facial Nerve Motor Disorders#Facial Nerve Sensory Disorders#Facial Neuritides#Facial Neuritis#Facial Neuropathies#Facial Neuropathies, Acquired#Facial Neuropathies, Familial#Facial Neuropathy#Facial Neuropathy, Acquired#Facial Neuropathy, Familial#Familial Facial Neuropathies#Familial Facial Neuropathy#Ganglionitides, Geniculate#Ganglionitis, Geniculate#Geniculate Ganglionitides#Geniculate Ganglionitis#Motor Disorders, Facial Nerve#Myokymia, Facial#Myokymias, Facial#Neuritides, Facial#Neuritis, Facial#Neuropathies, Facial#Neuropathies, Familial Facial#Neuropathy, Facial#Neuropathy, Familial Facial#Sensory Disorders, Facial Nerve#Seventh Cranial Nerve Diseases"
D005156,Facial Neuralgia,"Craniofacial Pain Syndrome#Craniofacial Pain Syndromes#Facial Neuralgias#Facial Pain Syndrome#Facial Pain Syndromes#Myofacial Pain Syndrome#Myofacial Pain Syndromes#Neuralgia, Facial#Neuralgias, Facial#Neuralgia, Sphenopalatine#Neuralgias, Sphenopalatine#Pain Syndrome, Craniofacial#Pain Syndrome, Facial#Pain Syndrome, Myofacial#Pain Syndromes, Craniofacial#Pain Syndromes, Facial#Pain Syndromes, Myofacial#Sphenopalatine Neuralgia#Sphenopalatine Neuralgias#Syndrome, Craniofacial Pain#Syndrome, Facial Pain#Syndrome, Myofacial Pain#Syndromes, Craniofacial Pain#Syndromes, Facial Pain#Syndromes, Myofacial Pain"
D005157,Facial Pain,"Craniofacial Pain#Face Pain#Facial Pain, Neuralgic#Myofacial Pain#Neuralgic Facial Pain#Orofacial Pain#Pain, Craniofacial#Pain, Face#Pain, Facial#Pain, Myofacial#Pain, Neuralgic Facial#Pain, Orofacial"
D005158,Facial Paralysis,"Central Facial Paralyses#Central Facial Paralysis#Facial Palsies#Facial Palsy#Facial Palsy, Lower Motor Neuron#Facial Palsy, Upper Motor Neuron#Facial Paralyses, Central#Facial Paralyses, Peripheral#Facial Paralysis, Central#Facial Paralysis, Peripheral#Facial Paresis#Hemifacial Paralysis#Lower Motor Neuron Facial Palsy#Palsies, Facial#Palsy, Facial#Paralyses, Central Facial#Paralyses, Facial#Paralyses, Hemifacial#Paralysis, Central Facial#Paralysis, Facial#Paralysis, Hemifacial#Paralysis, Peripheral Facial#Pareses, Facial#Paresis, Facial#Peripheral Facial Paralysis#Upper Motor Neuron Facial Palsy"
D005162,Factitious Disorders,"Disorders, Factitious#Ganser Syndrome#Pseudodementia#Pseudopsychosis#Syndrome, Ganser"
D005183,Failure to Thrive,
D005185,Fallopian Tube Neoplasms,"Cancer, Fallopian Tube#Cancer of the Fallopian Tube#Cancers, Fallopian Tube#Fallopian Tube Cancer#Fallopian Tube Cancers#Fallopian Tube Neoplasm#Neoplasm, Fallopian Tube#Neoplasms, Fallopian Tube"
